site,myear,date,p4file,dow,j.wk,te.re.wk,time,temp,gage,mode,trapmode,startstop,revolutions,rpm,threerottime,but.new,but.re,coh.new,coh.re,coh.mort,hch.new,hch.pit,hch.pre,hch.re,hch.mort,chs.new,chs.pit,chs.clip,chs.nm,chs.pre,chs.re.true,chs.re.mort,chs.gen,chs.mort.c,chs.mort.m,chs.te.pit,chs.te.clip,chs.te.all,chs.re.pit,chs.re.clip,chs.re.all,sts.new,sts.pit,sts.clip,sts.nm,sts.scales,sts.re.true,sts.re.mort,sts.mort.c,sts.mort.m,sts.te.pit,sts.te.clip,sts.te.all,sts.re.pit,sts.re.clip,sts.re.all,comments
LOS,2018,2017-09-06,,Wednesday,36,36,10:30,,,STR,NR,STR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Trap started.
LOS,2018,2017-09-07,OGR-2017-250-LT1,Thursday,36,36,11:40,15,48,CON,CON,,5626,,00'49.61,0,0,0,0,0,0,0,0,0,0,9,5,0,4,4,0,0,0,0,0,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
LOS,2018,2017-09-08,OGR-2017-251-LT1,Friday,36,36,11:40,15.5,47,CON,CON,,5239,,00'49.38,0,0,0,0,0,0,0,0,0,0,12,10,0,2,2,0,0,0,0,0,10,0,10,1,0,1,2,2,0,0,2,0,0,0,0,2,0,2,0,0,0,
LOS,2018,2017-09-09,OGR-2017-252-LT1,Saturday,36,36,09:45,14,47,CON,CON,,4786,,00'52.26,0,0,0,0,0,0,0,0,0,0,28,20,0,8,3,0,0,0,0,0,20,0,20,8,0,8,2,2,0,0,2,0,0,0,0,2,0,2,0,0,0,
LOS,2018,2017-09-10,OGR-2017-253-LT1,Sunday,37,36,09:30,14,46,CON,CON,,5250,,00'49.84,0,0,0,0,0,0,0,0,0,0,20,15,0,5,3,0,0,0,0,0,15,0,15,8,0,8,1,1,0,0,1,0,0,0,0,1,0,1,0,0,0,
LOS,2018,2017-09-11,OGR-2017-254-LT1,Monday,37,37,12:00,15,45,CON,CON,,5677,,00'56.04,0,0,0,0,0,0,0,0,0,0,24,14,0,10,9,0,0,0,0,0,14,0,14,8,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
LOS,2018,2017-09-12,OGR-2017-255-LT1,Tuesday,37,37,12:13,14,43,CON,CON,,4401,,00'55.16,0,0,0,0,0,0,0,0,0,0,14,12,0,4,2,0,0,0,0,0,12,0,12,6,0,6,1,1,0,0,1,0,0,0,0,1,0,1,0,0,0,
LOS,2018,2017-09-13,OGR-2017-256-LT1,Wednesday,37,37,11:10,14,43,CON,CON,,4205,,00'57.42,0,0,0,0,0,0,0,0,0,0,16,9,0,7,5,0,0,0,1,0,9,0,9,3,0,3,3,0,3,0,3,0,0,0,0,0,3,3,0,0,0,
LOS,2018,2017-09-14,OGR-2017-257-LT1,Thursday,37,37,11:15,12.5,38,CON,CON,,4166,,01'04.60,0,0,0,0,0,0,0,0,0,0,21,16,0,5,2,0,0,0,1,0,16,0,16,3,0,3,9,0,7,2,5,0,0,0,0,0,7,7,0,0,0,Leaf diverter installed.
LOS,2018,2017-09-15,OGR-2017-258-LT1,Friday,37,37,10:20,11,40,CON,CON,,3708,,01'21.53,0,0,0,0,0,0,0,0,0,0,32,20,0,12,3,0,0,0,0,0,20,0,20,5,0,5,8,0,4,4,2,0,0,0,0,0,4,4,0,2,2,
LOS,2018,2017-09-16,OGR-2017-259-LT1,Saturday,37,37,12:00,10,39,CON,CON,,4370,,01'36.17,0,0,0,0,0,0,0,0,0,0,63,0,0,63,3,0,0,0,1,0,0,0,0,8,0,8,14,3,8,3,6,0,0,0,0,3,8,11,0,0,0,
LOS,2018,2017-09-17,OGR-2017-260-LT1,Sunday,38,37,09:40,10,38,CON,CON,,4040,,00'58.33,0,0,0,0,0,0,0,0,0,0,52,34,0,17,2,1,0,0,1,0,34,0,34,0,0,0,3,0,3,0,1,0,0,0,0,0,3,3,0,4,4,
